"Breakdown","Year","Value"
"11_Other manufacturing",2012,"14"
"11_Other manufacturing",2012,"66"
"16_Computer services",2012,"221"
"16_Computer services",2012,"234"
"11_Other manufacturing",2014,"11"
"11_Other manufacturing",2014,"69"
"16_Computer services",2014,"237"
"16_Computer services",2014,"311"
"11_Other manufacturing",2016,"10"
"11_Other manufacturing",2016,"54"
"16_Computer services",2016,"240"
"16_Computer services",2016,"436"
"11_Other manufacturing",2018,"16"
"11_Other manufacturing",2018,"69"
"16_Computer services",2018,"324"
"16_Computer services",2018,"586"
"11_Other manufacturing",2019,"28"
"11_Other manufacturing",2019,"63"
"16_Computer services",2019,"390"
"16_Computer services",2019,"748"
